case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001410,2026-01-01T00:00:00Z,2025-08-02T16:00:00Z,email,service_request,other,sales_inquiry,Low,48.0,52.0,"",new,"",false,operations,"",0,Free,Wales,45-54,F,"Interested in upgrading to Pro for the new visualization features.",Positive,"",sales;upgrade;inquiry;pro_tier;features
ND-2025-001411,2026-01-01T00:00:00Z,2025-08-03T08:45:21Z,in_app,incident,bug,ui_glitch,Medium,24.0,22.0,"",open,"",false,engineering,"",30,Pro,London,25-34,M,"The filter dropdown is stuck behind the chart widget.",Neutral,"",bug;ui;glitch;filter;widget
ND-2025-001412,2026-01-01T00:00:00Z,2025-08-03T10:15:33Z,phone,incident,performance_outage,degraded_performance,Urgent,4.0,5.5,"",open,"",true,engineering,"",55,Enterprise,South East,35-44,F,"System is incredibly slow loading reports this morning.",Negative,"",slow;latency;performance;report;loading
ND-2025-001413,2026-01-01T00:00:00Z,2025-08-03T12:30:10Z,email,service_request,billing_payments,plan_change_billing,Low,48.0,46.0,90.0,solved,answered,false,billing,"",11,Standard,North West,55-64,M,"Want to downgrade to Standard tier as we don't use all features.",Neutral,"",downgrade;billing;subscription;standard;plan
ND-2025-001414,2026-01-01T00:00:00Z,2025-08-04T09:10:00Z,webchat,incident,access_permissions,sso_setup,High,8.0,10.0,"",open,"",true,operations,"",40,Enterprise,Scotland,45-54,F,"Okta SSO integration failing for new users.",Negative,"",sso;okta;orbit_id;login;integration
ND-2025-001415,2026-01-01T00:00:00Z,2025-08-04T11:55:45Z,email,service_request,data_reporting,report_permissions,Medium,24.0,26.0,"",pending,"",false,data,"",5,Pro,London,25-34,M,"Can't share the Q2 Financials Polaris board with the team.",Neutral,"",polaris;permissions;share;report;board
ND-2025-001416,2026-01-01T00:00:00Z,2025-08-04T13:40:22Z,in_app,service_request,how_to_training,examples_needed,Low,48.0,50.5,"",new,"",false,operations,"",3,Standard,South West,18-24,F,"Need examples of best practice for inventory widgets.",Neutral,"",best_practice;widget;inventory;examples;training
ND-2025-001417,2026-01-01T00:00:00Z,2025-08-05T08:20:15Z,email,incident,performance_outage,database_slow,High,8.0,9.0,"",open,"",true,engineering,"",18,Pro,Yorkshire,35-44,M,"Queries on the large dataset are timing out.",Negative,"",database;timeout;query;slow;performance
ND-2025-001418,2026-01-01T00:00:00Z,2025-08-05T10:05:50Z,webchat,service_request,billing_payments,vat_receipt,Low,48.0,2.0,5.0,solved,answered,false,billing,"",8,Standard,East Midlands,45-54,F,"Need a VAT receipt for the last invoice please.",Neutral,5,vat;invoice;receipt;billing;tax
ND-2025-001419,2026-01-01T00:00:00Z,2025-08-05T14:15:30Z,email,incident,integrations,webhook_failure,Medium,24.0,25.0,"",open,"",false,engineering,"",22,Pro,London,25-34,M,"Shopify webhooks not triggering updates in Northstar.",Negative,"",webhook;shopify;connector;update;failure
ND-2025-001420,2026-01-01T00:00:00Z,2025-08-06T09:00:00Z,email,service_request,account_admin,org_settings,Low,48.0,55.0,"",pending,"",false,operations,"",14,Standard,Northern Ireland,35-44,F,"Change organisation name in settings.",Neutral,"",settings;organization;admin;name_change;update
ND-2025-001421,2026-01-01T00:00:00Z,2025-08-06T11:30:25Z,phone,incident,access_permissions,account_locked,Urgent,4.0,5.0,"",open,"",true,security,"",50,Enterprise,London,45-54,M,"Admin account locked out suspicious activity warning.",Negative,"",locked_out;admin;security;suspicious;orbit_id
ND-2025-001422,2026-01-01T00:00:00Z,2025-08-06T13:45:10Z,webchat,service_request,data_reporting,timezone_confusion,Medium,24.0,20.0,"",on_hold,"",false,data,"",7,Pro,South East,25-34,F,"Why are the timestamps on the Polaris board in UTC?",Neutral,"",timezone;polaris;timestamp;utc;report
ND-2025-001423,2026-01-01T00:00:00Z,2025-08-07T08:50:40Z,email,incident,bug,mobile_issue,Medium,24.0,26.0,"",open,"",false,engineering,"",19,Standard,North West,35-44,M,"App crashing on iOS when opening the Sales widget.",Negative,"",mobile;crash;ios;widget;app
ND-2025-001424,2026-01-01T00:00:00Z,2025-08-07T10:10:15Z,in_app,service_request,how_to_training,onboarding_help,Low,48.0,52.0,"",new,"",false,operations,"",1,Free,Wales,18-24,F,"New here need help setting up my first connector.",Neutral,"",onboarding;connector;setup;help;training
ND-2025-001425,2026-01-01T00:00:00Z,2025-08-07T12:25:55Z,email,incident,integrations,mapping_error,High,8.0,9.5,"",pending,"",false,engineering,"",33,Pro,London,45-54,M,"HubSpot deal stages mapped incorrectly in Northstar.",Negative,"",mapping;hubspot;connector;error;deal_stages
ND-2025-001426,2026-01-01T00:00:00Z,2025-08-07T15:30:30Z,webchat,service_request,other,spam,Low,48.0,1.0,1.2,solved,cancelled,false,operations,"",0,Free,East of England,25-34,F,"SEO services for your website.",Neutral,"",spam;other;miscellaneous;marketing;irrelevant
ND-2025-001427,2026-01-01T00:00:00Z,2025-08-08T09:15:00Z,email,incident,security_privacy,gdpr_request,High,24.0,25.0,"",open,"",true,security,"",28,Standard,South West,35-44,M,"Right to be forgotten request for a former employee.",Neutral,"",gdpr;privacy;deletion;compliance;request
ND-2025-001428,2026-01-01T00:00:00Z,2025-08-08T11:40:45Z,phone,incident,performance_outage,intermittent_errors,Urgent,4.0,6.0,"",open,"",true,engineering,"",65,Enterprise,London,55-64,F,"Getting random 500 errors when saving changes to dashboards.",Negative,"",500_error;dashboard;save;error;intermittent
ND-2025-001429,2026-01-01T00:00:00Z,2025-08-08T14:05:20Z,email,service_request,billing_payments,payment_failed,High,8.0,9.0,"",pending,"",false,billing,"",10,Pro,North East,25-34,M,"Payment failed but card details are correct.",Negative,"",payment;failed;card;billing;error
ND-2025-001430,2026-01-01T00:00:00Z,2025-08-09T10:00:00Z,webchat,incident,bug,browser_compatibility,Medium,24.0,27.0,"",new,"",false,engineering,"",16,Standard,Yorkshire,45-54,F,"Polaris board looks weird on Firefox.",Neutral,"",firefox;browser;ui;glitch;polaris
ND-2025-001431,2026-01-01T00:00:00Z,2025-08-09T12:30:10Z,email,service_request,data_reporting,incorrect_filtering,Medium,24.0,26.5,"",open,"",false,data,"",4,Pro,West Midlands,35-44,M,"Filter by Region is not excluding the selected values.",Negative,"",filter;incorrect;data;report;region
ND-2025-001432,2026-01-01T00:00:00Z,2025-08-10T09:45:30Z,in_app,service_request,how_to_training,documentation_clarification,Low,48.0,50.0,"",pending,"",false,operations,"",2,Standard,Scotland,25-34,F,"Docs on API rate limits are confusing.",Neutral,"",docs;api;rate_limit;clarification;help
ND-2025-001433,2026-01-01T00:00:00Z,2025-08-10T14:10:55Z,email,incident,integrations,third_party_outage,High,8.0,8.5,"",on_hold,"",true,engineering,"",42,Enterprise,London,45-54,M,"Salesforce seems down affecting our Northstar sync.",Negative,"",salesforce;outage;sync;connector;down
ND-2025-001434,2026-01-01T00:00:00Z,2025-08-11T08:30:20Z,webchat,service_request,account_admin,audit_log_request,Medium,24.0,25.0,"",open,"",false,operations,"",24,Pro,South East,35-44,F,"Need audit logs for user activity last month.",Neutral,"",audit_log;admin;activity;security;history
ND-2025-001435,2026-01-01T00:00:00Z,2025-08-11T10:55:40Z,email,incident,performance_outage,full_outage,Urgent,4.0,5.0,"",open,"",true,engineering,"",60,Enterprise,London,55-64,M,"Completely unable to access Northstar Desk getting 502.",Negative,"",outage;502_error;down;access;critical
ND-2025-001436,2026-01-01T00:00:00Z,2025-08-11T13:20:15Z,phone,service_request,billing_payments,pricing_query,Low,48.0,49.0,"",pending,"",false,billing,"",5,Standard,North West,25-34,F,"Question about Pro tier pricing for next renewal.",Neutral,"",pricing;pro_tier;inquiry;renewal;billing
ND-2025-001437,2026-01-01T00:00:00Z,2025-08-12T09:05:00Z,email,incident,bug,broken_link,Low,48.0,52.0,"",new,"",false,engineering,"",3,Free,Wales,35-44,M,"Link to help center in the footer is broken.",Neutral,"",broken_link;help_center;bug;footer;404
ND-2025-001438,2026-01-01T00:00:00Z,2025-08-12T11:45:25Z,webchat,service_request,access_permissions,role_assignment,Medium,24.0,28.0,"",open,"",false,operations,"",12,Pro,South West,45-54,F,"Need to change a user role from Viewer to Editor.",Neutral,"",role;permissions;editor;viewer;admin
ND-2025-001439,2026-01-01T00:00:00Z,2025-08-12T15:10:50Z,email,incident,data_reporting,delayed_refresh,High,8.0,10.0,"",pending,"",true,data,"",36,Enterprise,London,35-44,M,"Polaris board not refreshing data since yesterday.",Negative,"",refresh;delayed;polaris;data;stale
ND-2025-001440,2026-01-01T00:00:00Z,2025-08-13T08:40:10Z,in_app,service_request,how_to_training,troubleshooting_steps,Medium,24.0,25.5,"",open,"",false,operations,"",8,Standard,East Midlands,25-34,F,"Steps to debug a failed connector sync?",Neutral,"",troubleshooting;connector;sync;debug;help
ND-2025-001441,2026-01-01T00:00:00Z,2025-08-13T10:25:35Z,email,incident,security_privacy,vulnerability_disclosure,Urgent,4.0,4.5,"",open,"",true,security,"",55,Pro,London,35-44,M,"Potential XSS vulnerability found in the widget title field.",Negative,"",vulnerability;security;xss;widget;alert
ND-2025-001442,2026-01-01T00:00:00Z,2025-08-13T12:50:00Z,phone,incident,bug,regression_after_update,High,8.0,9.0,"",pending,"",true,engineering,"",20,Enterprise,Scotland,45-54,F,"Update yesterday broke our custom widget layout.",Negative,"",regression;update;layout;widget;bug
ND-2025-001443,2026-01-01T00:00:00Z,2025-08-14T09:30:22Z,webchat,service_request,other,wrong_number,Low,48.0,1.5,2.0,solved,cancelled,false,operations,"",0,Free,North East,18-24,M,"Is this the pizza place?",Neutral,"",wrong_number;spam;other;miscellaneous;inquiry
ND-2025-001444,2026-01-01T00:00:00Z,2025-08-14T11:15:45Z,email,service_request,billing_payments,refund_request,Medium,24.0,26.0,"",open,"",false,billing,"",6,Standard,London,25-34,F,"Requesting refund for the accidental Pro upgrade.",Neutral,"",refund;billing;upgrade;accidental;request
ND-2025-001445,2026-01-01T00:00:00Z,2025-08-14T14:40:10Z,in_app,incident,performance_outage,login_service_down,Urgent,4.0,6.0,"",open,"",true,engineering,"",45,Pro,South East,35-44,M,"Cannot log in Orbit ID service unavailable.",Negative,"",orbit_id;login;down;503;access
ND-2025-001446,2026-01-01T00:00:00Z,2025-08-15T08:55:30Z,email,service_request,account_admin,notification_settings,Low,48.0,50.0,"",new,"",false,operations,"",13,Standard,South West,45-54,F,"Stop sending me so many marketing emails please.",Neutral,"",notifications;email_prefs;spam;admin;settings
ND-2025-001447,2026-01-01T00:00:00Z,2025-08-15T10:40:55Z,webchat,incident,integrations,timeout_error,High,8.0,9.0,"",pending,"",false,engineering,"",30,Pro,London,25-34,M,"Xero sync timing out after 10 minutes.",Negative,"",timeout;xero;connector;sync;error
ND-2025-001448,2026-01-01T00:00:00Z,2025-08-15T13:00:20Z,phone,service_request,access_permissions,domain_verification,Medium,24.0,27.5,"",open,"",false,operations,"",18,Enterprise,Yorkshire,35-44,F,"Need help verifying our domain for SSO.",Neutral,"",domain;verification;sso;orbit_id;setup
ND-2025-001449,2026-01-01T00:00:00Z,2025-08-16T09:10:45Z,email,incident,data_reporting,export_issue,Medium,24.0,25.0,"",on_hold,"",false,data,"",9,Standard,East of England,55-64,M,"CSV export formatting is broken all messy.",Negative,"",export;csv;formatting;bug;data
ND-2025-001450,2026-01-01T00:00:00Z,2025-08-16T11:35:10Z,webchat,service_request,bug,ui_glitch,Low,48.0,51.0,"",new,"",false,engineering,"",2,Free,London,18-24,F,"Button colour looks wrong on the settings page.",Neutral,"",ui;glitch;color;settings;bug
ND-2025-001451,2026-01-01T00:00:00Z,2025-08-17T08:25:30Z,email,incident,performance_outage,latency_spike,Urgent,4.0,5.8,"",open,"",true,engineering,"",38,Pro,North West,35-44,M,"Very high latency on the main dashboard right now.",Negative,"",latency;slow;dashboard;performance;urgent
ND-2025-001452,2026-01-01T00:00:00Z,2025-08-17T10:50:55Z,in_app,service_request,billing_payments,credit_card,High,8.0,10.0,"",pending,"",false,billing,"",15,Standard,Wales,25-34,F,"Update credit card info failing.",Negative,"",credit_card;update;billing;failed;error
ND-2025-001453,2026-01-01T00:00:00Z,2025-08-18T09:00:20Z,email,incident,integrations,json,Medium,24.0,26.0,"",open,"",false,engineering,"",22,Pro,South East,45-54,M,"JSON parsing error from the API connector.",Neutral,"",json;error;api;connector;parsing
ND-2025-001454,2026-01-01T00:00:00Z,2025-08-18T11:15:45Z,webchat,service_request,how_to_training,configuration,Low,48.0,49.0,"",new,"",false,operations,"",4,Standard,London,25-34,F,"Configuring the new Polaris widget need help.",Neutral,"",configuration;polaris;widget;setup;help
ND-2025-001455,2026-01-01T00:00:00Z,2025-08-18T14:30:10Z,phone,incident,access_permissions,mfa_reset,Urgent,4.0,6.5,"",open,"",true,security,"",50,Enterprise,Scotland,35-44,M,"Lost phone need 2FA reset for admin account.",Neutral,"",2fa;mfa;reset;admin;access
ND-2025-001456,2026-01-01T00:00:00Z,2025-08-19T08:45:35Z,email,incident,bug,app_crash,High,8.0,9.5,"",pending,"",false,engineering,"",28,Pro,North East,45-54,F,"Northstar app crashes when I click export.",Negative,"",app;crash;mobile;export;bug
ND-2025-001457,2026-01-01T00:00:00Z,2025-08-19T10:20:00Z,webchat,service_request,data_reporting,chart,Medium,24.0,25.5,"",open,"",false,data,"",11,Standard,Yorkshire,25-34,M,"Chart not displaying the correct currency symbol.",Neutral,"",chart;currency;symbol;polaris;display
ND-2025-001458,2026-01-01T00:00:00Z,2025-08-19T13:55:25Z,email,incident,performance_outage,spinner,Urgent,4.0,5.0,"",open,"",true,engineering,"",60,Enterprise,London,55-64,F,"Just seeing a spinner when I load the board.",Negative,"",spinner;loading;polaris;board;stuck
ND-2025-001459,2026-01-01T00:00:00Z,2025-08-20T09:10:50Z,in_app,service_request,account_admin,data_retention,Low,48.0,52.0,"",new,"",false,operations,"",7,Standard,West Midlands,35-44,M,"What is the data retention policy for closed accounts?",Neutral,"",retention;policy;data;account;closure
ND-2025-001460,2026-01-01T00:00:00Z,2025-08-20T11:40:15Z,email,incident,integrations,oauth_token_issue,High,8.0,9.0,"",pending,"",false,engineering,"",35,Pro,South West,25-34,F,"OAuth token for Salesforce keeps expiring.",Negative,"",oauth;token;salesforce;connector;expiry
ND-2025-001461,2026-01-01T00:00:00Z,2025-08-20T14:15:40Z,webchat,service_request,other,partnership_request,Low,48.0,50.0,"",new,"",false,operations,"",0,Free,London,45-54,M,"We would like to partner with Northstar Desk.",Positive,"",partnership;sales;inquiry;business;proposal
ND-2025-001462,2026-01-01T00:00:00Z,2025-08-21T08:30:00Z,phone,incident,security_privacy,session_timeout,Medium,24.0,26.0,"",open,"",false,security,"",14,Standard,East Midlands,35-44,F,"Session timing out too quickly during work.",Negative,"",session;timeout;login;security;usability
ND-2025-001463,2026-01-01T00:00:00Z,2025-08-21T10:55:25Z,email,incident,bug,screen_freeze,High,8.0,10.0,"",pending,"",true,engineering,"",40,Enterprise,London,25-34,M,"Screen freezes when dragging widgets on Polaris.",Negative,"",screen_freeze;widget;polaris;drag;bug
ND-2025-001464,2026-01-01T00:00:00Z,2025-08-21T13:20:50Z,webchat,service_request,billing_payments,subscription,Low,48.0,49.5,"",open,"",false,billing,"",5,Standard,North West,55-64,F,"Query about subscription renewal date.",Neutral,"",subscription;renewal;date;billing;query
ND-2025-001465,2026-01-01T00:00:00Z,2025-08-22T09:05:15Z,email,incident,data_reporting,visualization,Medium,24.0,25.0,"",on_hold,"",false,data,"",26,Pro,South East,35-44,M,"Visualization looks broken on the new report.",Negative,"",visualization;report;broken;bug;polaris
ND-2025-001466,2026-01-01T00:00:00Z,2025-08-22T11:30:40Z,in_app,service_request,how_to_training,video_tutorial,Low,48.0,51.0,"",new,"",false,operations,"",1,Free,Northern Ireland,18-24,F,"Do you have a video tutorial for beginners?",Neutral,"",video_tutorial;training;help;onboarding;learn
ND-2025-001467,2026-01-01T00:00:00Z,2025-08-22T14:45:00Z,email,incident,performance_outage,crash,Urgent,4.0,5.5,"",open,"",true,engineering,"",55,Enterprise,London,45-54,M,"Engine failure message then crash.",Negative,"",engine_failure;crash;critical;error;down
ND-2025-001468,2026-01-01T00:00:00Z,2025-08-23T08:20:25Z,webchat,service_request,access_permissions,invite,Medium,24.0,27.0,"",pending,"",false,operations,"",12,Standard,Wales,25-34,F,"Invite link for new user expired.",Neutral,"",invite;user;link;expired;access
ND-2025-001469,2026-01-01T00:00:00Z,2025-08-23T10:55:50Z,phone,incident,integrations,rest_api,High,8.0,9.5,"",open,"",false,engineering,"",32,Pro,South West,35-44,M,"REST API returning invalid JSON.",Negative,"",rest_api;json;invalid;error;connector
ND-2025-001470,2026-01-01T00:00:00Z,2025-08-23T13:10:15Z,email,service_request,billing_payments,dunning,Medium,24.0,26.0,"",open,"",false,billing,"",8,Standard,Scotland,45-54,F,"Received a dunning email but we paid yesterday.",Negative,"",dunning;payment;email;billing;error
ND-2025-001471,2026-01-01T00:00:00Z,2025-08-24T09:40:30Z,webchat,incident,bug,v2_update,High,8.0,8.5,"",pending,"",true,engineering,"",48,Enterprise,London,25-34,M,"V2 update broke our custom CSS injection.",Negative,"",v2_update;css;custom;break;bug
ND-2025-001472,2026-01-01T00:00:00Z,2025-08-24T12:05:55Z,email,service_request,data_reporting,kpi,Low,48.0,49.0,"",new,"",false,data,"",3,Free,East of England,18-24,F,"How to define custom KPIs in Polaris?",Neutral,"",kpi;custom;polaris;setup;how_to
ND-2025-001473,2026-01-01T00:00:00Z,2025-08-25T08:30:20Z,in_app,incident,performance_outage,status_page,Urgent,4.0,5.2,"",open,"",true,engineering,"",36,Pro,London,35-44,M,"Status page says operational but we are down.",Negative,"",status_page;down;outage;discrepancy;urgent
ND-2025-001474,2026-01-01T00:00:00Z,2025-08-25T11:00:45Z,webchat,service_request,access_permissions,google_auth,Medium,24.0,25.5,"",pending,"",false,operations,"",17,Standard,North West,45-54,F,"Google Auth integration not showing up.",Neutral,"",google_auth;integration;sso;missing;setup
ND-2025-001475,2026-01-01T00:00:00Z,2025-08-25T13:45:10Z,email,incident,integrations,hubspot,High,8.0,9.0,"",open,"",false,engineering,"",25,Pro,Yorkshire,25-34,M,"HubSpot contacts not syncing to Northstar.",Negative,"",hubspot;sync;contacts;connector;error
ND-2025-001476,2026-01-01T00:00:00Z,2025-08-26T09:15:35Z,phone,service_request,account_admin,email_prefs,Low,48.0,50.5,"",new,"",false,operations,"",6,Standard,South East,55-64,F,"Update email preferences for billing contact.",Neutral,"",email_prefs;billing;contact;update;admin
ND-2025-001477,2026-01-01T00:00:00Z,2025-08-26T11:40:00Z,email,incident,bug,safari,Medium,24.0,26.5,"",open,"",false,engineering,"",19,Pro,London,35-44,M,"Safari browser showing blank page on login.",Negative,"",safari;browser;blank;login;bug
ND-2025-001478,2026-01-01T00:00:00Z,2025-08-26T14:10:25Z,webchat,service_request,data_reporting,pdf,Low,48.0,49.0,"",pending,"",false,data,"",10,Standard,West Midlands,25-34,F,"PDF report layout is different from screen.",Neutral,"",pdf;report;layout;data;export
ND-2025-001479,2026-01-01T00:00:00Z,2025-08-27T08:50:50Z,email,incident,performance_outage,timeout,Urgent,4.0,5.5,"",open,"",true,engineering,"",50,Enterprise,Scotland,45-54,M,"Gateway timeout 504 on all API requests.",Negative,"",timeout;504_error;api;gateway;urgent
ND-2025-001480,2026-01-01T00:00:00Z,2025-08-27T11:20:15Z,in_app,service_request,billing_payments,upgrade,Medium,24.0,25.0,"",on_hold,"",false,billing,"",2,Free,London,18-24,F,"Want to upgrade to Pro for the summer deal.",Positive,"",upgrade;pro_tier;sales;subscription;billing
ND-2025-001481,2026-01-01T00:00:00Z,2025-08-27T13:55:40Z,webchat,incident,security_privacy,penetration_test,High,8.0,9.2,"",open,"",true,security,"",60,Enterprise,South West,35-44,M,"Our pen test found a weak cipher suite.",Neutral,"",penetration_test;security;cipher;compliance;report
ND-2025-001482,2026-01-01T00:00:00Z,2025-08-28T09:10:00Z,email,service_request,how_to_training,walkthrough,Low,48.0,51.5,"",new,"",false,operations,"",5,Standard,East Midlands,25-34,F,"Is there a walkthrough for the new connector wizard?",Neutral,"",walkthrough;connector;wizard;help;training
ND-2025-001483,2026-01-01T00:00:00Z,2025-08-28T11:35:25Z,phone,incident,integrations,sync,Medium,24.0,27.0,"",pending,"",false,engineering,"",28,Pro,London,45-54,M,"Sync is stuck at 99% for hours.",Negative,"",sync;stuck;connector;loading;error
ND-2025-001484,2026-01-01T00:00:00Z,2025-08-28T14:00:50Z,email,service_request,other,inquiry,Low,48.0,2.5,4.0,solved,answered,false,operations,"",0,Free,North East,35-44,F,"Do you offer non-profit discounts?",Neutral,"",inquiry;sales;discount;pricing;other
ND-2025-001485,2026-01-01T00:00:00Z,2025-08-29T08:45:15Z,webchat,incident,bug,chrome,High,8.0,9.5,"",open,"",true,engineering,"",42,Enterprise,London,25-34,M,"Chrome specific crash when editing widgets.",Negative,"",chrome;crash;widget;edit;bug
ND-2025-001486,2026-01-01T00:00:00Z,2025-08-29T10:30:40Z,in_app,service_request,data_reporting,filter,Medium,24.0,26.0,"",pending,"",false,data,"",16,Standard,Wales,55-64,F,"Need a filter for customer lifetime value.",Neutral,"",filter;kpi;customer;report;setup
ND-2025-001487,2026-01-01T00:00:00Z,2025-08-29T13:15:00Z,email,incident,performance_outage,uptime,Urgent,4.0,5.0,"",open,"",true,engineering,"",58,Enterprise,South East,35-44,M,"Uptime dropped below SLA this month.",Negative,"",uptime;sla;performance;outage;report
ND-2025-001488,2026-01-01T00:00:00Z,2025-08-30T09:20:25Z,webchat,service_request,billing_payments,seat_limit,Low,48.0,49.0,"",open,"",false,billing,"",8,Standard,North West,25-34,F,"Hit seat limit need to add more.",Neutral,"",seat_limit;add_user;billing;upgrade;subscription
ND-2025-001489,2026-01-01T00:00:00Z,2025-08-30T11:45:50Z,phone,incident,access_permissions,locked_out,High,8.0,9.0,"",pending,"",false,security,"",24,Pro,London,45-54,M,"Locked out of Orbit ID after too many attempts.",Negative,"",locked_out;orbit_id;security;reset;login
ND-2025-001490,2026-01-01T00:00:00Z,2025-08-30T14:30:15Z,email,incident,integrations,api,Medium,24.0,25.5,"",open,"",false,engineering,"",20,Standard,Yorkshire,35-44,F,"API returning 500 error on valid request.",Negative,"",api;500_error;connector;bug;request
ND-2025-001491,2026-01-01T00:00:00Z,2025-08-31T08:55:40Z,webchat,service_request,account_admin,closure,Low,48.0,51.0,"",new,"",false,operations,"",3,Free,East of England,18-24,M,"Close my account please.",Neutral,"",closure;account;admin;cancel;terminate
ND-2025-001492,2026-01-01T00:00:00Z,2025-08-31T11:20:00Z,email,incident,bug,error,Medium,24.0,27.0,"",open,"",false,engineering,"",15,Pro,London,25-34,F,"Generic error message when saving report.",Negative,"",error;save;report;bug;message
ND-2025-001493,2026-01-01T00:00:00Z,2025-08-01T15:00:00Z,email,incident,bug,ui_glitch,Low,48.0,50.0,"",new,"",false,engineering,"",12,Standard,South West,35-44,M,"The font looks weird.",Neutral,"",ui;glitch;font;cosmetic;bug
ND-2025-001494,2026-01-01T00:00:00Z,2025-08-02T16:20:00Z,webchat,service_request,access_permissions,password_reset,Medium,24.0,26.0,"",open,"",false,operations,"",5,Pro,London,45-54,F,"Reset password link not working.",Negative,"",password;reset;link;broken;access
ND-2025-001495,2026-01-01T00:00:00Z,2025-08-03T09:40:00Z,phone,incident,performance_outage,slow,High,8.0,9.5,"",pending,"",false,engineering,"",30,Enterprise,Scotland,25-34,M,"Slow loading times on report page.",Negative,"",slow;latency;report;performance;loading
ND-2025-001496,2026-01-01T00:00:00Z,2025-08-04T12:15:00Z,email,service_request,billing_payments,invoice,Low,48.0,49.5,"",open,"",false,billing,"",4,Standard,North West,35-44,F,"Where is my August invoice?",Neutral,"",invoice;missing;billing;document;inquiry
ND-2025-001497,2026-01-01T00:00:00Z,2025-08-05T14:50:00Z,in_app,incident,integrations,connector,Medium,24.0,25.5,"",new,"",false,engineering,"",18,Pro,London,25-34,M,"Connector says connected but no data.",Negative,"",connector;data;missing;sync;error
ND-2025-001498,2026-01-01T00:00:00Z,2025-08-06T10:10:00Z,email,service_request,how_to_training,help_center,Low,48.0,51.0,"",open,"",false,operations,"",2,Free,Wales,18-24,F,"Cannot find the help article on widgets.",Neutral,"",help_center;widget;docs;search;missing
ND-2025-001499,2026-01-01T00:00:00Z,2025-08-07T13:30:00Z,webchat,incident,security_privacy,suspicious_login,Urgent,4.0,6.0,"",open,"",true,security,"",40,Enterprise,South East,45-54,M,"Login attempt from unknown IP.",Negative,"",suspicious_login;ip_whitelist;security;alert;orbit_id
