case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000426,2026-01-01T00:00:00Z,2025-03-04T14:10:45Z,webchat,service_request,other,miscellaneous,Low,48.0,0.8,1.5,solved,answered,false,operations,"",0,Free,Scotland,,"Just browsing thanks","Neutral","","other;inquiry;miscellaneous"
ND-2025-000427,2026-01-01T00:00:00Z,2025-03-04T15:55:12Z,email,incident,billing_payments,invoice_error,High,8.0,4.2,10.1,open,"",true,billing,billing,18,Enterprise,London,45-54,F,"The totals on the invoice do not match the Polaris usage report","Negative","","invoice;error;polaris;billing"
ND-2025-000428,2026-01-01T00:00:00Z,2025-03-05T09:05:30Z,email,service_request,account_admin,data_retention,Low,72.0,12.5,60.0,solved,answered,false,operations,"",36,Standard,North West,35-44,M,"What is your data retention policy for cancelled accounts?","Neutral",5,"retention;gdpr;policy"
ND-2025-000429,2026-01-01T00:00:00Z,2025-03-05T10:40:15Z,email,incident,billing_payments,duplicate_charge,High,8.0,1.8,6.5,solved,refunded,false,billing,"",4,Pro,South West,25-34,F,"Charged twice for Orbit ID this month","Negative",1,"duplicate_charge;orbit_id;refund"
ND-2025-000430,2026-01-01T00:00:00Z,2025-03-05T11:25:50Z,webchat,incident,bug,ui_glitch,Medium,24.0,0.6,3.2,solved,fixed,false,engineering,"",8,Standard,Wales,,"Buttons are misaligned on the connector page","Neutral",4,"ui;glitch;connector;bug"
ND-2025-000431,2026-01-01T00:00:00Z,2025-03-05T13:00:05Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,6.5,22.0,solved,answered,false,billing,"",13,Pro,East Midlands,45-54,M,"VAT receipt please","Neutral",5,"vat;invoice;request"
ND-2025-000432,2026-01-01T00:00:00Z,2025-03-05T14:35:25Z,phone,service_request,other,partnership_request,Low,48.0,4.0,26.5,solved,answered,false,operations,"",0,Free,London,35-44,F,"Calling about a potential partnership","Positive","","partnership;sales;inquiry"
ND-2025-000433,2026-01-01T00:00:00Z,2025-03-06T08:50:40Z,email,incident,account_admin,user_add_remove,High,8.0,2.5,5.5,solved,fixed,false,operations,"",25,Enterprise,North East,35-44,M,"Cannot remove a former employee from Orbit ID access","Negative",3,"user_management;orbit_id;admin"
ND-2025-000434,2026-01-01T00:00:00Z,2025-03-06T09:40:12Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.2,20.5,solved,answered,false,billing,"",16,Pro,Yorkshire,25-34,F,"I can't find the VAT invoice in the settings","Neutral",4,"vat;invoice;settings"
ND-2025-000435,2026-01-01T00:00:00Z,2025-03-06T11:15:30Z,email,incident,bug,browser_compatibility,Low,48.0,18.0,40.2,solved,workaround,false,engineering,"",5,Standard,South East,45-54,M,"Polaris Board looks weird on Safari","Neutral",3,"safari;browser;polaris;ui"
ND-2025-000436,2026-01-01T00:00:00Z,2025-03-06T13:00:55Z,webchat,service_request,billing_payments,subscription,Medium,24.0,1.0,4.5,solved,answered,false,billing,"",2,Pro,London,35-44,F,"How do I upgrade to Enterprise?","Positive",5,"upgrade;subscription;enterprise_tier"
ND-2025-000437,2026-01-01T00:00:00Z,2025-03-06T14:45:10Z,email,incident,other,spam,Low,48.0,40.0,49.0,solved,cancelled,false,operations,"",0,Free,East of England,,"Cheap meds for you","Neutral","","spam;miscellaneous"
ND-2025-000438,2026-01-01T00:00:00Z,2025-03-06T16:20:22Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,5.5,21.8,solved,answered,false,billing,"",10,Pro,North West,25-34,M,"Need VAT receipt for accounting","Neutral",5,"vat;invoice;accounting"
ND-2025-000439,2026-01-01T00:00:00Z,2025-03-07T09:10:45Z,in_app,incident,bug,mobile_issue,Medium,24.0,2.5,12.0,solved,fixed,false,engineering,"",19,Standard,South West,35-44,F,"Can't login to the app via Orbit ID","Negative",2,"mobile;login;orbit_id;bug"
ND-2025-000440,2026-01-01T00:00:00Z,2025-03-07T10:55:05Z,email,service_request,account_admin,notification_settings,Low,48.0,8.0,28.5,solved,fixed,false,operations,"",6,Pro,Wales,45-54,M,"Stop sending me marketing emails please","Neutral",4,"notifications;email_prefs;spam"
ND-2025-000441,2026-01-01T00:00:00Z,2025-03-07T12:30:30Z,email,incident,billing_payments,payment_failed,Urgent,4.0,1.2,3.5,solved,fixed,true,billing,billing,28,Enterprise,London,35-44,F,"Our account is locked due to failed payment fix this immediately","Negative",1,"payment;locked_out;failed;urgent"
ND-2025-000442,2026-01-01T00:00:00Z,2025-03-07T14:05:15Z,webchat,service_request,other,inquiry,Low,48.0,0.3,0.8,solved,answered,false,operations,"",1,Free,Scotland,,"How much is the Pro plan?","Neutral","","pricing;sales;inquiry"
ND-2025-000443,2026-01-01T00:00:00Z,2025-03-07T15:45:50Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,4.8,22.2,solved,answered,false,billing,"",14,Pro,East Midlands,25-34,M,"VAT invoice for March thanks","Neutral",5,"vat;invoice;request"
ND-2025-000444,2026-01-01T00:00:00Z,2025-03-08T09:30:10Z,email,incident,bug,regression_after_update,High,8.0,3.0,7.2,open,"",true,engineering,engineering,30,Enterprise,London,45-54,F,"Since the v2 update my Polaris widgets are blank","Negative","","regression;v2_update;polaris;widget"
ND-2025-000445,2026-01-01T00:00:00Z,2025-03-08T11:15:35Z,email,service_request,billing_payments,refund_request,Medium,24.0,6.0,25.5,solved,workaround,false,billing,"",3,Standard,North East,35-44,M,"Refund for the unused time on my subscription?","Neutral",3,"refund;subscription;cancellation"
ND-2025-000446,2026-01-01T00:00:00Z,2025-03-08T13:00:00Z,phone,incident,account_admin,account_closure,High,8.0,1.5,4.0,solved,cancelled,true,operations,billing,12,Pro,South East,25-34,F,"I want to close my account and delete all data from Orbit ID","Negative",2,"closure;gdpr;orbit_id;deletion"
ND-2025-000447,2026-01-01T00:00:00Z,2025-03-08T14:40:22Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.8,19.5,solved,answered,false,billing,"",20,Pro,North West,45-54,M,"Send VAT receipt cheers","Neutral",5,"vat;invoice;request"
ND-2025-000448,2026-01-01T00:00:00Z,2025-03-09T08:55:45Z,email,incident,other,spam,Low,48.0,35.0,48.2,solved,cancelled,false,operations,"",0,Free,Yorkshire,,"Be your own boss work from home","Neutral","","spam;miscellaneous"
ND-2025-000449,2026-01-01T00:00:00Z,2025-03-09T10:20:12Z,webchat,service_request,billing_payments,plan_change_billing,Medium,24.0,0.9,2.5,solved,fixed,false,billing,"",8,Standard,London,35-44,F,"Upgrade to Pro please","Positive",5,"upgrade;pro_tier;billing"
ND-2025-000450,2026-01-01T00:00:00Z,2025-03-09T11:50:30Z,email,incident,bug,ui_glitch,Medium,24.0,5.2,14.5,solved,fixed,false,engineering,"",15,Pro,South West,25-34,M,"Typo in the settings menu for Connectors","Neutral",4,"bug;ui;connector;settings"
ND-2025-000451,2026-01-01T00:00:00Z,2025-03-09T13:30:55Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.5,20.0,solved,answered,false,billing,"",11,Pro,Wales,45-54,F,"VAT invoice required for end of year","Neutral",5,"vat;invoice;end_of_year"
ND-2025-000452,2026-01-01T00:00:00Z,2025-03-09T15:15:20Z,email,incident,billing_payments,invoice_error,High,8.0,2.2,6.8,solved,fixed,false,billing,"",22,Enterprise,London,35-44,M,"Invoice address is still showing the old HQ","Negative",3,"invoice;error;address;billing"
ND-2025-000453,2026-01-01T00:00:00Z,2025-03-10T09:00:40Z,email,service_request,account_admin,user_add_remove,Low,48.0,6.0,30.2,solved,fixed,false,operations,"",5,Standard,Scotland,25-34,F,"Need to add a consultant to the dashboard","Neutral",5,"user_management;admin;dashboard"
ND-2025-000454,2026-01-01T00:00:00Z,2025-03-10T10:35:10Z,email,incident,bug,export_bug,Medium,24.0,4.0,23.5,open,"",true,engineering,engineering,18,Pro,East Midlands,45-54,M,"PDF export of the Polaris Board is cutting off the bottom","Negative","","export;pdf;bug;polaris"
ND-2025-000455,2026-01-01T00:00:00Z,2025-03-10T12:10:25Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.1,19.0,solved,answered,false,billing,"",13,Pro,London,35-44,F,"VAT receipt please","Neutral",5,"vat;invoice;request"
ND-2025-000456,2026-01-01T00:00:00Z,2025-03-10T13:45:50Z,webchat,service_request,other,inquiry,Low,48.0,0.4,1.2,solved,answered,false,operations,"",0,Free,North East,,"How do I reset my password?","Neutral","","password;login;how_to"
ND-2025-000457,2026-01-01T00:00:00Z,2025-03-10T15:30:15Z,email,incident,billing_payments,payment_failed,High,8.0,1.8,5.9,solved,fixed,false,billing,"",26,Pro,South East,25-34,M,"Card declined but it has funds","Negative",2,"payment;declined;credit_card"
ND-2025-000458,2026-01-01T00:00:00Z,2025-03-11T08:45:35Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,5.0,21.5,solved,answered,false,billing,"",9,Pro,North West,45-54,F,"Please email the VAT invoice","Neutral",5,"vat;invoice;email_prefs"
ND-2025-000459,2026-01-01T00:00:00Z,2025-03-11T10:10:00Z,email,incident,other,spam,Low,48.0,42.0,48.1,solved,cancelled,false,operations,"",0,Free,London,,"Proposal for business growth","Neutral","","spam;sales;miscellaneous"
ND-2025-000460,2026-01-01T00:00:00Z,2025-03-11T11:55:25Z,phone,service_request,account_admin,billing_contact_update,Medium,24.0,1.2,3.5,solved,fixed,false,operations,"",14,Enterprise,Yorkshire,35-44,M,"New Finance Director needs to receive the billing emails","Neutral",5,"billing;admin;notifications"
ND-2025-000461,2026-01-01T00:00:00Z,2025-03-11T13:25:50Z,email,incident,bug,screen_freeze,High,8.0,2.5,7.5,solved,fixed,false,engineering,"",7,Standard,South West,25-34,F,"Screen freezes when I load the main Polaris Board","Negative",3,"screen_freeze;polaris;bug;loading"
ND-2025-000462,2026-01-01T00:00:00Z,2025-03-11T15:00:15Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.8,20.2,solved,answered,false,billing,"",17,Pro,Wales,45-54,M,"VAT invoice for tax purposes","Neutral",5,"vat;invoice;tax"
ND-2025-000463,2026-01-01T00:00:00Z,2025-03-12T09:15:40Z,email,incident,billing_payments,duplicate_charge,High,8.0,1.5,4.2,solved,refunded,true,billing,billing,5,Standard,London,35-44,F,"Double charged for the starter pack","Negative",1,"duplicate_charge;refund;error"
ND-2025-000464,2026-01-01T00:00:00Z,2025-03-12T10:50:05Z,webchat,service_request,account_admin,org_settings,Low,48.0,0.8,2.0,solved,fixed,false,operations,"",3,Free,East Midlands,25-34,M,"Change organization name","Neutral","","org_settings;admin;organization"
ND-2025-000465,2026-01-01T00:00:00Z,2025-03-12T12:20:30Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.5,18.8,solved,answered,false,billing,"",12,Pro,Scotland,45-54,F,"VAT receipt thanks","Neutral",5,"vat;invoice;request"
ND-2025-000466,2026-01-01T00:00:00Z,2025-03-12T13:55:55Z,email,incident,bug,chrome,Medium,24.0,7.0,16.5,solved,workaround,false,engineering,"",21,Pro,London,35-44,M,"Connector settings won't save on Chrome","Neutral",3,"chrome;connector;bug;settings"
ND-2025-000467,2026-01-01T00:00:00Z,2025-03-12T15:40:20Z,email,incident,other,spam,Low,48.0,30.0,47.5,solved,cancelled,false,operations,"",0,Free,South East,,"Web development services","Neutral","","spam;miscellaneous"
ND-2025-000468,2026-01-01T00:00:00Z,2025-03-13T08:50:45Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,4.2,22.5,solved,answered,false,billing,"",15,Pro,North East,25-34,F,"Need the VAT invoice for the last 3 months","Neutral",5,"vat;invoice;history"
ND-2025-000469,2026-01-01T00:00:00Z,2025-03-13T10:15:10Z,phone,incident,account_admin,account_locked,Urgent,4.0,0.5,1.5,solved,fixed,true,operations,security,32,Enterprise,London,45-54,M,"Locked out of the admin account cannot run payroll reports","Negative",2,"locked_out;admin;urgent;security"
ND-2025-000470,2026-01-01T00:00:00Z,2025-03-13T11:45:35Z,email,service_request,billing_payments,pricing_query,Low,48.0,10.0,28.0,solved,answered,false,billing,"",4,Standard,North West,35-44,F,"Why did the price go up?","Negative",3,"pricing;billing;inquiry"
ND-2025-000471,2026-01-01T00:00:00Z,2025-03-13T13:20:00Z,email,incident,bug,ui_glitch,Medium,24.0,3.2,12.5,solved,fixed,false,engineering,"",10,Pro,South West,25-34,M,"Visual glitch on the dashboard sidebar","Neutral",4,"ui;glitch;dashboard;bug"
ND-2025-000472,2026-01-01T00:00:00Z,2025-03-13T14:55:25Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,1.8,18.2,solved,answered,false,billing,"",19,Pro,Wales,45-54,F,"VAT receipt required","Neutral",5,"vat;invoice;request"
ND-2025-000473,2026-01-01T00:00:00Z,2025-03-14T09:05:50Z,email,incident,billing_payments,payment_failed,High,8.0,2.0,6.2,solved,fixed,false,billing,"",8,Standard,London,35-44,M,"Subscription suspended due to payment issue","Negative",2,"payment;failed;subscription;suspended"
ND-2025-000474,2026-01-01T00:00:00Z,2025-03-14T10:40:15Z,webchat,service_request,account_admin,user_add_remove,Low,48.0,1.2,3.8,solved,fixed,false,operations,"",6,Pro,East Midlands,25-34,F,"Add user to Orbit ID","Neutral",5,"user_management;orbit_id;admin"
ND-2025-000475,2026-01-01T00:00:00Z,2025-03-14T12:15:40Z,email,incident,bug,broken_link,Medium,24.0,5.5,15.0,solved,fixed,false,engineering,"",13,Standard,Scotland,45-54,M,"404 error on the support page link","Neutral",4,"404;broken_link;support;error"
ND-2025-000476,2026-01-01T00:00:00Z,2025-03-14T13:50:05Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.0,19.8,solved,answered,false,billing,"",22,Pro,Yorkshire,35-44,F,"VAT invoice please","Neutral",5,"vat;invoice;request"
ND-2025-000477,2026-01-01T00:00:00Z,2025-03-14T15:25:30Z,email,incident,other,spam,Low,48.0,28.0,46.5,solved,cancelled,false,operations,"",0,Free,London,,"Greetings from Prince Aladeen","Neutral","","spam;miscellaneous"
ND-2025-000478,2026-01-01T00:00:00Z,2025-03-15T09:10:55Z,email,service_request,billing_payments,refund_request,High,8.0,2.5,7.0,solved,refunded,true,billing,billing,3,Standard,South East,25-34,M,"Requesting refund for accidental renewal","Neutral",4,"refund;renewal;subscription"
ND-2025-000479,2026-01-01T00:00:00Z,2025-03-15T10:45:20Z,email,incident,account_admin,audit_log_request,Medium,24.0,6.2,22.0,open,"",false,operations,"",25,Enterprise,North West,45-54,F,"Need logs of who accessed the Financial Polaris Board","Neutral","","audit_log;security;polaris"
ND-2025-000480,2026-01-01T00:00:00Z,2025-03-15T12:20:45Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,4.5,21.0,solved,answered,false,billing,"",11,Pro,London,35-44,M,"Send VAT receipt","Neutral",5,"vat;invoice;request"
ND-2025-000481,2026-01-01T00:00:00Z,2025-03-15T14:00:10Z,webchat,incident,bug,v2_update,Medium,24.0,1.5,5.5,solved,fixed,false,engineering,"",16,Pro,South West,25-34,F,"Update broke my custom widget","Negative",2,"v2_update;bug;widget;broken"
ND-2025-000482,2026-01-01T00:00:00Z,2025-03-15T15:35:35Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.8,19.2,solved,answered,false,billing,"",14,Pro,East of England,45-54,M,"VAT invoice for records","Neutral",5,"vat;invoice;records"
ND-2025-000483,2026-01-01T00:00:00Z,2025-03-16T09:20:00Z,email,incident,billing_payments,invoice_error,High,8.0,3.2,8.5,open,"",true,billing,billing,20,Enterprise,London,35-44,F,"Invoice incorrect reflects standard instead of enterprise","Negative","","invoice;error;enterprise_tier;billing"
ND-2025-000484,2026-01-01T00:00:00Z,2025-03-16T10:55:25Z,email,service_request,account_admin,user_add_remove,Low,48.0,5.0,25.0,solved,fixed,false,operations,"",7,Standard,North East,25-34,M,"Remove user from team","Neutral",4,"user_management;admin;team"
ND-2025-000485,2026-01-01T00:00:00Z,2025-03-16T12:30:50Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.5,20.8,solved,answered,false,billing,"",18,Pro,Wales,45-54,F,"VAT receipt needed","Neutral",5,"vat;invoice;request"
ND-2025-000486,2026-01-01T00:00:00Z,2025-03-16T14:10:15Z,phone,incident,other,spam,Low,48.0,1.0,2.5,solved,cancelled,false,operations,"",0,Free,Scotland,,"Robocall about insurance","Neutral","","spam;miscellaneous"
ND-2025-000487,2026-01-01T00:00:00Z,2025-03-16T15:45:40Z,email,service_request,billing_payments,plan_change_billing,Medium,24.0,4.2,22.0,solved,fixed,false,billing,"",9,Pro,London,35-44,M,"Downgrade to Standard","Neutral",4,"downgrade;billing;subscription"
ND-2025-000488,2026-01-01T00:00:00Z,2025-03-17T09:00:05Z,email,incident,bug,export_bug,High,8.0,2.5,6.5,solved,fixed,true,engineering,engineering,23,Enterprise,South East,25-34,F,"Exporting the KPI report crashes the browser","Negative",2,"export;crash;kpi;browser"
ND-2025-000489,2026-01-01T00:00:00Z,2025-03-17T10:35:30Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,1.8,18.5,solved,answered,false,billing,"",12,Pro,East Midlands,45-54,M,"VAT receipt please","Neutral",5,"vat;invoice;request"
ND-2025-000490,2026-01-01T00:00:00Z,2025-03-17T12:10:55Z,webchat,incident,other,spam,Low,48.0,0.2,0.5,solved,cancelled,false,operations,"",0,Free,Yorkshire,,"Hello friend","Neutral","","spam;miscellaneous"
ND-2025-000491,2026-01-01T00:00:00Z,2025-03-17T13:50:20Z,email,service_request,account_admin,org_settings,Medium,24.0,5.5,24.0,solved,fixed,false,operations,"",10,Pro,North West,35-44,F,"Update company VAT number","Neutral",5,"org_settings;vat;admin"
ND-2025-000492,2026-01-01T00:00:00Z,2025-03-17T15:25:45Z,email,incident,billing_payments,payment_failed,Urgent,4.0,0.8,3.2,solved,fixed,true,billing,billing,30,Enterprise,London,45-54,M,"Urgent payment failure risk of service interruption","Negative",1,"payment;failed;urgent;risk"
ND-2025-000493,2026-01-01T00:00:00Z,2025-03-18T09:15:10Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.0,19.5,solved,answered,false,billing,"",15,Pro,South West,25-34,F,"VAT invoice thanks","Neutral",5,"vat;invoice;request"
ND-2025-000494,2026-01-01T00:00:00Z,2025-03-18T10:50:35Z,email,incident,bug,ui_glitch,Medium,24.0,4.8,13.0,solved,fixed,false,engineering,"",8,Standard,Wales,35-44,M,"Text overlapping on mobile view","Neutral",4,"ui;glitch;mobile;bug"
ND-2025-000495,2026-01-01T00:00:00Z,2025-03-18T12:25:00Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.2,18.8,solved,answered,false,billing,"",13,Pro,London,45-54,F,"Please send VAT receipt","Neutral",5,"vat;invoice;request"
ND-2025-000496,2026-01-01T00:00:00Z,2025-03-18T14:00:25Z,phone,incident,other,spam,Low,48.0,0.5,1.5,solved,cancelled,false,operations,"",0,Free,North East,,"IRS tax scam call","Neutral","","spam;miscellaneous"
ND-2025-000497,2026-01-01T00:00:00Z,2025-03-18T15:35:50Z,email,service_request,account_admin,user_add_remove,Low,48.0,6.5,28.0,solved,fixed,false,operations,"",5,Standard,Scotland,25-34,M,"Add new user","Neutral",4,"user_management;admin"
ND-2025-000498,2026-01-01T00:00:00Z,2025-03-19T09:10:15Z,email,incident,billing_payments,duplicate_charge,High,8.0,1.5,5.8,solved,refunded,false,billing,"",3,Pro,South East,35-44,F,"Duplicate charge on my statement","Negative",2,"duplicate_charge;refund;error"
ND-2025-000499,2026-01-01T00:00:00Z,2025-03-19T10:45:40Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.5,20.5,solved,answered,false,billing,"",17,Pro,London,45-54,M,"VAT receipt required ASAP","Neutral",5,"vat;invoice;urgent"
ND-2025-000500,2026-01-01T00:00:00Z,2025-03-19T12:20:05Z,webchat,incident,bug,broken_link,Low,48.0,15.0,35.0,solved,fixed,false,engineering,"",6,Standard,East Midlands,25-34,F,"Link to tutorial is broken","Neutral",3,"broken_link;tutorial;bug"
