case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000011,2026-01-01T00:00:00Z,2025-01-05T11:20:30Z,webchat,service_request,account_admin,user_add_remove,Medium,24.0,0.8,2.2,solved,answered,FALSE,support,"",6,Pro,North East,35-44,M,"Need to remove three users who left in December",Neutral,5,"user_management; admin; removal; organization"
ND-2025-000012,2026-01-01T00:00:00Z,2025-01-05T15:05:15Z,email,incident,integrations,api_auth_error,High,8.0,2.1,12.5,solved,fixed,TRUE,engineering,support,12,Pro,London,25-34,M,"Salesforce connector throwing 401 Unauthorized errors",Negative,4,"connector; salesforce; api; auth"
ND-2025-000013,2026-01-01T00:00:00Z,2025-01-06T08:30:45Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,open,"",FALSE,engineering,"",1,Standard,Wales,25-34,F,"I can't figure out how to create a dashboard",Neutral,,"how_to; polaris; onboarding; setup"
ND-2025-000014,2026-01-01T00:00:00Z,2025-01-06T09:50:10Z,phone,incident,performance_outage,latency_spike,Urgent,4.0,0.1,2.8,solved,fixed,FALSE,engineering,"",40,Enterprise,London,35-44,M,"Polaris Board is loading extremely slowly this morning",Negative,3,"latency; slow; loading; spinner"
ND-2025-000015,2026-01-01T00:00:00Z,2025-01-06T12:15:33Z,in_app,service_request,how_to_training,permissions_explainer,Low,48.0,6.0,,pending,"",FALSE,support,"",3,Standard,South East,45-54,F,"Explain the difference between Editor and Viewer in Orbit ID roles",Neutral,,"how_to; orbit_id; roles; permissions"
ND-2025-000016,2026-01-01T00:00:00Z,2025-01-06T16:40:00Z,email,service_request,bug,broken_link,Low,72.0,18.5,45.2,solved,fixed,FALSE,engineering,"",10,Pro,North West,25-34,M,"Link to the knowledge base in the footer 404s",Neutral,4,"bug; 404; broken_link; docs"
ND-2025-000017,2026-01-01T00:00:00Z,2025-01-07T09:05:22Z,webchat,incident,access_permissions,account_locked,Urgent,4.0,0.3,1.2,solved,fixed,FALSE,support,"",2,Standard,East Midlands,18-24,F,"Locked out of my account after too many tries",Negative,5,"locked_out; orbit_id; login; security"
ND-2025-000018,2026-01-01T00:00:00Z,2025-01-07T10:30:11Z,email,service_request,how_to_training,feature_how_to,Medium,24.0,3.2,,on_hold,"",FALSE,support,"",4,Pro,London,35-44,M,"How do I filter the Polaris widget by fiscal year?",Neutral,,"how_to; filter; polaris; widget"
ND-2025-000019,2026-01-01T00:00:00Z,2025-01-07T14:20:55Z,email,incident,billing_payments,payment_failed,High,8.0,1.8,,open,"",TRUE,billing,support,15,Enterprise,Scotland,45-54,F,"Payment failed notification received but card is valid",Negative,,"payment; credit_card; stripe; error"
ND-2025-000020,2026-01-01T00:00:00Z,2025-01-08T08:15:40Z,in_app,service_request,data_reporting,missing_data,High,8.0,4.5,10.2,solved,answered,FALSE,data,"",7,Pro,South West,25-34,M,"Data missing from Q4 summary widget",Negative,3,"missing_data; widget; polaris; report"
ND-2025-000021,2026-01-01T00:00:00Z,2025-01-08T09:45:12Z,webchat,service_request,other,sales_inquiry,Low,48.0,2.0,2.5,solved,answered,FALSE,support,"",0,Free,London,35-44,F,"Interested in upgrading to Enterprise for the SSO features",Neutral,,"sales; inquiry; enterprise_tier; sso"
ND-2025-000022,2026-01-01T00:00:00Z,2025-01-08T11:55:05Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.1,,new,"",FALSE,support,"",1,Standard,Northern Ireland,25-34,M,"Where do I start with creating a new report?",Neutral,,"how_to; report; onboarding; start"
ND-2025-000023,2026-01-01T00:00:00Z,2025-01-08T15:10:30Z,email,incident,bug,export_bug,Medium,24.0,6.5,,open,"",FALSE,engineering,"",9,Pro,Yorkshire,45-54,F,"PDF export formatting is misaligned",Neutral,,"bug; export; pdf; formatting"
ND-2025-000024,2026-01-01T00:00:00Z,2025-01-09T08:50:00Z,phone,incident,security_privacy,suspicious_activity,Urgent,2.0,0.1,1.5,solved,fixed,TRUE,security,"",18,Enterprise,London,35-44,M,"Unrecognized login attempt flagged on Orbit ID",Negative,5,"security; suspicious_login; orbit_id; alert"
ND-2025-000025,2026-01-01T00:00:00Z,2025-01-09T10:25:15Z,webchat,service_request,how_to_training,troubleshooting_steps,Medium,24.0,1.5,3.2,solved,answered,FALSE,support,"",5,Standard,West Midlands,25-34,F,"My widgets aren't refreshing automatically",Neutral,4,"how_to; widget; refresh; troubleshooting"
ND-2025-000026,2026-01-01T00:00:00Z,2025-01-09T13:40:50Z,email,service_request,account_admin,billing_contact_update,Low,48.0,22.1,,open,"",FALSE,billing,"",11,Pro,East of England,45-54,M,"Update billing contact to finance@company.com",Neutral,,"admin; settings; email_prefs; billing"
ND-2025-000027,2026-01-01T00:00:00Z,2025-01-10T09:00:22Z,in_app,incident,performance_outage,intermittent_errors,High,8.0,3.2,,pending,"",TRUE,engineering,"",6,Standard,London,25-34,F,"Getting random 500 errors when saving Polaris Boards",Negative,,"500_error; polaris; save; intermittent"
ND-2025-000028,2026-01-01T00:00:00Z,2025-01-10T11:15:33Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.8,,new,"",FALSE,support,"",1,Standard,North West,18-24,M,"Is there a video tutorial for the HubSpot connector?",Neutral,,"how_to; video_tutorial; hubspot; connector"
ND-2025-000029,2026-01-01T00:00:00Z,2025-01-10T14:50:45Z,webchat,incident,bug,mobile_issue,Medium,24.0,1.2,4.5,solved,fixed,FALSE,engineering,"",8,Pro,Scotland,35-44,F,"App crashes when viewing large charts on iPhone",Negative,3,"bug; mobile; crash; ios"
ND-2025-000030,2026-01-01T00:00:00Z,2025-01-11T08:30:10Z,email,service_request,how_to_training,configuration,Medium,24.0,6.0,,open,"",FALSE,support,"",2,Free,London,25-34,M,"help me set up",Neutral,,"how_to; setup; configuration; polaris"
ND-2025-000031,2026-01-01T00:00:00Z,2025-01-11T10:05:55Z,email,service_request,integrations,mapping_error,High,8.0,3.5,14.2,solved,fixed,FALSE,engineering,"",13,Pro,South East,45-54,M,"Xero fields not mapping correctly to Polaris widgets",Negative,4,"mapping; xero; widget; connector"
ND-2025-000032,2026-01-01T00:00:00Z,2025-01-11T13:20:20Z,webchat,incident,access_permissions,password_reset,Medium,24.0,0.5,1.1,solved,fixed,FALSE,support,"",4,Standard,Yorkshire,25-34,F,"Forgot password for Orbit ID",Neutral,5,"password; orbit_id; login; reset"
ND-2025-000033,2026-01-01T00:00:00Z,2025-01-12T09:15:00Z,email,service_request,how_to_training,documentation_clarification,Low,48.0,16.5,,pending,"",FALSE,support,"",3,Pro,London,35-44,M,"Docs are unclear about API rate limits",Neutral,,"how_to; docs; api; limit"
ND-2025-000034,2026-01-01T00:00:00Z,2025-01-12T11:40:15Z,in_app,service_request,bug,ui_glitch,Low,48.0,5.2,8.8,solved,workaround,FALSE,engineering,"",5,Standard,West Midlands,25-34,F,"Colour palette looks wrong in dark mode",Neutral,4,"bug; ui; glitch; display"
ND-2025-000035,2026-01-01T00:00:00Z,2025-01-12T15:05:30Z,email,incident,data_reporting,incorrect_filtering,High,8.0,2.8,,open,"",FALSE,data,"",10,Pro,North East,45-54,M,"Date filter excludes the last day of the month",Negative,,"filter; polaris; incorrect_filtering; bug"
ND-2025-000036,2026-01-01T00:00:00Z,2025-01-13T08:45:50Z,phone,incident,billing_payments,refund_request,Urgent,4.0,0.2,4.1,solved,fixed,TRUE,billing,support,2,Standard,London,55-64,F,"Requesting refund for accidental annual subscription",Negative,,"refund; subscription; billing; error"
ND-2025-000037,2026-01-01T00:00:00Z,2025-01-13T10:10:12Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,new,"",FALSE,support,"",1,Standard,South West,25-34,M,"Adding a Polaris Board seems complicated",Neutral,,"how_to; polaris; onboarding; setup"
ND-2025-000038,2026-01-01T00:00:00Z,2025-01-13T12:30:05Z,webchat,service_request,access_permissions,invite_user,Medium,24.0,1.0,2.5,solved,answered,FALSE,support,"",7,Pro,Wales,35-44,F,"Need to invite a contractor to view one board only",Neutral,5,"invite; user_management; permissions; polaris"
ND-2025-000039,2026-01-01T00:00:00Z,2025-01-13T16:00:40Z,email,incident,performance_outage,database_slow,Urgent,4.0,0.5,3.5,solved,fixed,TRUE,engineering,"",30,Enterprise,London,45-54,M,"Reports are timing out completely",Negative,2,"timeout; slow; database; 500_error"
ND-2025-000040,2026-01-01T00:00:00Z,2025-01-14T09:20:25Z,email,service_request,how_to_training,feature_how_to,Low,48.0,10.1,,open,"",FALSE,support,"",2,Standard,East Midlands,25-34,F,"How do I customize the widget axis?",Neutral,,"how_to; widget; configuration; polaris"
ND-2025-000041,2026-01-01T00:00:00Z,2025-01-14T11:50:15Z,in_app,service_request,other,wrong_number,Low,48.0,1.5,1.6,solved,cancelled,FALSE,support,"",0,Free,London,18-24,M,"Is this the pizza place?",Neutral,,"other; miscellaneous; wrong_number; spam"
ND-2025-000042,2026-01-01T00:00:00Z,2025-01-14T14:15:33Z,email,incident,integrations,webhook_failure,High,8.0,3.1,9.5,solved,fixed,FALSE,engineering,"",16,Pro,North West,35-44,M,"Webhooks for updated deals aren't firing",Negative,4,"webhook; connector; api; failure"
ND-2025-000043,2026-01-01T00:00:00Z,2025-01-15T08:40:00Z,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,2.2,6.1,solved,answered,FALSE,support,"",1,Standard,Yorkshire,25-34,F,"Guide me through the dashboard setup please",Neutral,5,"how_to; dashboard; setup; onboarding"
ND-2025-000044,2026-01-01T00:00:00Z,2025-01-15T10:05:45Z,email,incident,bug,regression_after_update,High,8.0,4.0,,open,"",TRUE,engineering,"",12,Pro,London,45-54,M,"Latest v2 update broke my custom CSS",Negative,,"regression; v2_update; bug; ui"
ND-2025-000045,2026-01-01T00:00:00Z,2025-01-15T13:25:20Z,email,service_request,access_permissions,role_assignment,Medium,24.0,5.8,,pending,"",FALSE,support,"",4,Standard,South East,35-44,F,"Change user role from Viewer to Admin",Neutral,,"admin; role_assignment; orbit_id; permissions"
ND-2025-000046,2026-01-01T00:00:00Z,2025-01-16T09:10:10Z,phone,incident,account_admin,account_closure,Urgent,4.0,0.1,2.0,solved,answered,FALSE,support,"",6,Standard,London,25-34,M,"Cancel my account immediately",Negative,2,"closure; account_closure; admin; retention"
ND-2025-000047,2026-01-01T00:00:00Z,2025-01-16T11:30:55Z,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,1.2,5.5,solved,answered,FALSE,engineering,"",1,Free,North East,18-24,F,"How to use Northstar?",Neutral,4,"how_to; onboarding; polaris; help_center"
ND-2025-000048,2026-01-01T00:00:00Z,2025-01-16T14:45:30Z,email,incident,data_reporting,timezone_confusion,Medium,24.0,3.5,8.2,solved,answered,FALSE,data,"",5,Standard,West Midlands,35-44,M,"Timestamps on the board are in UTC not GMT",Neutral,5,"timezone; polaris; report; configuration"
ND-2025-000049,2026-01-01T00:00:00Z,2025-01-17T08:20:05Z,in_app,service_request,how_to_training,feature_how_to,Low,48.0,7.2,,open,"",FALSE,support,"",3,Standard,London,25-34,F,"Can I embed a Polaris widget in an external site?",Neutral,,"how_to; widget; embedding; polaris"
ND-2025-000050,2026-01-01T00:00:00Z,2025-01-17T10:55:40Z,email,incident,bug,browser_compatibility,Medium,24.0,6.1,,pending,"",FALSE,engineering,"",9,Pro,South West,45-54,M,"Menu doesn't open on Firefox",Negative,,"bug; firefox; ui; glitch"
ND-2025-000051,2026-01-01T00:00:00Z,2025-01-17T13:15:15Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.5,18.2,solved,answered,FALSE,support,"",1,Standard,Wales,25-34,F,"Complete newbie here need help with Polaris Boards",Neutral,5,"how_to; onboarding; polaris; training"
ND-2025-000052,2026-01-01T00:00:00Z,2025-01-18T09:30:50Z,webchat,incident,access_permissions,mfa_reset,Urgent,4.0,0.5,1.5,solved,fixed,FALSE,security,"",22,Enterprise,London,35-44,M,"Lost my phone need 2FA reset for Orbit ID",Negative,5,"mfa; 2fa; orbit_id; reset"
ND-2025-000053,2026-01-01T00:00:00Z,2025-01-18T11:45:22Z,email,service_request,how_to_training,best_practice,Low,72.0,24.5,,open,"",FALSE,support,"",8,Pro,Scotland,45-54,F,"Best practices for structuring data for the connector?",Neutral,,"best_practice; connector; data; structure"
ND-2025-000054,2026-01-01T00:00:00Z,2025-01-18T15:00:10Z,email,incident,billing_payments,vat_receipt,Low,48.0,12.1,26.5,solved,answered,FALSE,billing,"",10,Standard,London,35-44,M,"Need a VAT receipt for December",Neutral,5,"vat; invoice; billing; receipt"
ND-2025-000055,2026-01-01T00:00:00Z,2025-01-19T08:50:35Z,in_app,service_request,bug,screen_freeze,High,8.0,1.8,,open,"",FALSE,engineering,"",4,Standard,North West,25-34,F,"Screen freezes when I click the export button",Negative,,"screen_freeze; bug; export; ui"
ND-2025-000056,2026-01-01T00:00:00Z,2025-01-19T10:15:05Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.2,,new,"",FALSE,support,"",1,Standard,Yorkshire,25-34,M,"Where is the tutorial for new users?",Neutral,,"how_to; tutorial; onboarding; help_center"
ND-2025-000057,2026-01-01T00:00:00Z,2025-01-19T13:40:40Z,webchat,incident,integrations,third_party_outage,High,8.0,0.9,4.2,solved,workaround,FALSE,engineering,"",14,Pro,London,35-44,M,"Shopify connector says service unavailable",Negative,4,"connector; shopify; outage; error"
ND-2025-000058,2026-01-01T00:00:00Z,2025-01-20T09:05:15Z,email,service_request,how_to_training,examples_needed,Low,48.0,15.5,,pending,"",FALSE,support,"",3,Free,East Midlands,18-24,F,"Examples of KPI dashboards please",Neutral,,"how_to; kpi; dashboard; examples"
ND-2025-000059,2026-01-01T00:00:00Z,2025-01-20T11:25:55Z,phone,incident,performance_outage,full_outage,Urgent,4.0,0.1,3.8,solved,fixed,TRUE,engineering,"",25,Enterprise,London,45-54,M,"Total system down 500 errors everywhere",Negative,1,"full_outage; 500_error; crash; downtime"
ND-2025-000060,2026-01-01T00:00:00Z,2025-01-20T14:55:30Z,email,service_request,access_permissions,password_reset,Medium,24.0,2.1,4.5,solved,fixed,FALSE,support,"",6,Standard,South East,35-44,F,"Reset password link expired",Neutral,5,"password; login; orbit_id; reset"
ND-2025-000061,2026-01-01T00:00:00Z,2025-01-21T08:35:10Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.9,,open,"",FALSE,support,"",1,Standard,North East,25-34,M,"Help setting up the first board",Neutral,,"how_to; polaris; setup; onboarding"
ND-2025-000062,2026-01-01T00:00:00Z,2025-01-21T10:40:45Z,in_app,service_request,data_reporting,delayed_refresh,Medium,24.0,3.5,9.1,solved,answered,FALSE,data,"",8,Pro,West Midlands,35-44,F,"Why does the widget take 10 mins to refresh?",Neutral,4,"widget; refresh; slow; polaris"
ND-2025-000063,2026-01-01T00:00:00Z,2025-01-21T13:15:20Z,webchat,incident,bug,app_crash,High,8.0,1.2,,open,"",FALSE,engineering,"",5,Standard,London,25-34,M,"it crashed",Negative,,"crash; bug; mobile; error"
ND-2025-000064,2026-01-01T00:00:00Z,2025-01-22T09:00:00Z,email,service_request,how_to_training,permissions_explainer,Low,48.0,8.5,,pending,"",FALSE,support,"",2,Standard,South West,45-54,F,"What can a Viewer do on a Polaris Board?",Neutral,,"how_to; permissions; roles; polaris"
ND-2025-000065,2026-01-01T00:00:00Z,2025-01-22T11:30:35Z,email,incident,billing_payments,plan_change_billing,Medium,24.0,6.2,14.5,solved,fixed,FALSE,billing,"",11,Pro,London,35-44,M,"Downgraded to Standard but still charged Pro rate",Negative,3,"downgrade; pro_tier; billing; error"
ND-2025-000066,2026-01-01T00:00:00Z,2025-01-22T14:50:10Z,webchat,service_request,access_permissions,sso_setup,High,8.0,2.5,,open,"",FALSE,support,"",20,Enterprise,North West,45-54,M,"Need assistance configuring Google Auth for Orbit ID",Neutral,,"sso; google_auth; orbit_id; configuration"
ND-2025-000067,2026-01-01T00:00:00Z,2025-01-23T08:45:55Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.8,,new,"",FALSE,support,"",1,Standard,Scotland,25-34,F,"Start guide for Northstar?",Neutral,,"how_to; onboarding; docs; guide"
ND-2025-000068,2026-01-01T00:00:00Z,2025-01-23T10:20:25Z,phone,incident,security_privacy,gdpr_request,Urgent,48.0,0.5,24.5,solved,answered,FALSE,security,"",9,Pro,London,35-44,M,"Data deletion request under GDPR",Neutral,5,"gdpr; privacy; compliance; deletion"
ND-2025-000069,2026-01-01T00:00:00Z,2025-01-23T13:10:40Z,email,service_request,other,partnership_request,Low,48.0,26.2,,on_hold,"",FALSE,support,"",0,Free,Wales,25-34,F,"Do you have an agency partnership program?",Neutral,,"partnership; sales; inquiry; other"
ND-2025-000070,2026-01-01T00:00:00Z,2025-01-24T09:15:15Z,in_app,service_request,how_to_training,troubleshooting_steps,Medium,24.0,3.1,7.8,solved,answered,FALSE,support,"",4,Standard,East of England,35-44,M,"My connector says connected but no data appearing",Negative,4,"how_to; troubleshooting; connector; missing_data"
ND-2025-000071,2026-01-01T00:00:00Z,2025-01-24T11:40:50Z,email,incident,bug,broken_link,Low,48.0,12.5,,open,"",FALSE,engineering,"",7,Pro,Yorkshire,25-34,F,"broken link",Neutral,,"broken_link; bug; 404; docs"
ND-2025-000072,2026-01-01T00:00:00Z,2025-01-24T14:25:30Z,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,1.5,4.2,solved,answered,FALSE,support,"",1,Standard,London,18-24,M,"How do I add my first Polaris Board?",Neutral,5,"how_to; polaris; setup; onboarding"
ND-2025-000073,2026-01-01T00:00:00Z,2025-01-25T08:55:05Z,email,incident,performance_outage,login_service_down,Urgent,4.0,0.2,2.5,solved,fixed,TRUE,engineering,"",35,Enterprise,North East,45-54,M,"Nobody can log in via Orbit ID right now",Negative,2,"login; orbit_id; downtime; 500_error"
ND-2025-000074,2026-01-01T00:00:00Z,2025-01-25T10:50:45Z,email,service_request,account_admin,audit_log_request,Medium,24.0,5.5,,pending,"",FALSE,support,"",13,Pro,South East,35-44,F,"Need audit logs for user activity last week",Neutral,,"audit_log; admin; history; security"
ND-2025-000075,2026-01-01T00:00:00Z,2025-01-25T13:30:10Z,in_app,service_request,how_to_training,feature_how_to,Low,48.0,9.2,,open,"",FALSE,support,"",3,Standard,London,25-34,M,"How to share a board link?",Neutral,,"how_to; sharing; polaris; link"
ND-2025-000076,2026-01-01T00:00:00Z,2025-01-26T09:10:35Z,webchat,incident,integrations,rate_limit_hit,High,8.0,1.8,5.5,solved,workaround,FALSE,engineering,"",12,Pro,West Midlands,35-44,F,"API rate limit exceeded on Salesforce connector",Negative,4,"rate_limit; api; salesforce; connector"
ND-2025-000077,2026-01-01T00:00:00Z,2025-01-26T11:25:20Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,6.1,,new,"",FALSE,support,"",1,Standard,South West,25-34,M,"New account setup help",Neutral,,"how_to; setup; onboarding; account"
ND-2025-000078,2026-01-01T00:00:00Z,2025-01-26T14:45:55Z,email,incident,access_permissions,account_locked,Urgent,4.0,0.4,1.1,solved,fixed,FALSE,support,"",5,Standard,London,25-34,F,"Account locked please unlock",Negative,5,"locked_out; login; orbit_id; security"
ND-2025-000079,2026-01-01T00:00:00Z,2025-01-27T08:30:25Z,phone,incident,billing_payments,credit_card_update,Urgent,4.0,0.1,2.8,solved,fixed,FALSE,billing,"",10,Pro,North West,45-54,M,"Update credit card details before expiry",Neutral,5,"credit_card; billing; payment; update"
ND-2025-000080,2026-01-01T00:00:00Z,2025-01-27T10:15:40Z,webchat,service_request,how_to_training,configuration,Medium,24.0,2.5,6.5,solved,answered,FALSE,support,"",2,Standard,East Midlands,18-24,F,"Configuring the dashboard layout",Neutral,4,"how_to; configuration; dashboard; layout"
ND-2025-000081,2026-01-01T00:00:00Z,2025-01-27T13:00:15Z,email,incident,bug,v2_update,High,8.0,4.2,,open,"",TRUE,engineering,"",15,Pro,London,35-44,M,"V2 update broke my saved reports",Negative,,"v2_update; regression; bug; report"
ND-2025-000082,2026-01-01T00:00:00Z,2025-01-28T09:20:50Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,new,"",FALSE,support,"",1,Standard,Yorkshire,25-34,F,"I need help with my first Polaris Board",Neutral,,"how_to; polaris; help_center; onboarding"
ND-2025-000083,2026-01-01T00:00:00Z,2025-01-28T11:45:30Z,in_app,service_request,data_reporting,export_issue,Medium,24.0,3.8,,pending,"",FALSE,data,"",6,Standard,Wales,25-34,M,"Export button greyed out",Negative,,"export; ui; bug; polaris"
ND-2025-000084,2026-01-01T00:00:00Z,2025-01-28T14:30:10Z,webchat,incident,access_permissions,password_reset,Medium,24.0,0.9,2.2,solved,fixed,FALSE,support,"",3,Free,London,18-24,F,"cant login",Negative,3,"login; password; orbit_id; error"
ND-2025-000085,2026-01-01T00:00:00Z,2025-01-29T08:50:45Z,email,service_request,how_to_training,best_practice,Low,48.0,14.1,,open,"",FALSE,support,"",9,Pro,North East,35-44,M,"Best way to visualize churn data?",Neutral,,"best_practice; visualization; polaris; churn"
ND-2025-000086,2026-01-01T00:00:00Z,2025-01-29T10:40:20Z,email,incident,performance_outage,latency_spike,High,8.0,1.5,5.2,solved,fixed,FALSE,engineering,"",18,Enterprise,South West,45-54,M,"Severe lag when loading the main board",Negative,4,"latency; slow; polaris; loading"
ND-2025-000087,2026-01-01T00:00:00Z,2025-01-29T13:15:55Z,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,2.1,4.8,solved,answered,FALSE,support,"",1,Standard,London,25-34,F,"Setting up the account",Neutral,5,"how_to; account; setup; onboarding"
ND-2025-000088,2026-01-01T00:00:00Z,2025-01-30T09:05:35Z,email,incident,billing_payments,invoice_error,Urgent,4.0,0.3,3.1,solved,fixed,TRUE,billing,support,12,Pro,Scotland,35-44,F,"Invoice amount is wrong for January",Negative,,"invoice; billing; error; dispute"
ND-2025-000089,2026-01-01T00:00:00Z,2025-01-30T11:25:10Z,in_app,service_request,bug,ui_glitch,Low,48.0,6.5,,open,"",FALSE,engineering,"",5,Standard,East Midlands,25-34,M,"Text overlapping on the settings page",Neutral,,"bug; ui; glitch; settings"
ND-2025-000090,2026-01-01T00:00:00Z,2025-01-30T14:50:45Z,email,service_request,how_to_training,examples_needed,Medium,24.0,5.8,,pending,"",FALSE,support,"",2,Standard,South East,25-34,F,"Do you have templates for marketing dashboards?",Neutral,,"how_to; templates; polaris; marketing"
ND-2025-000091,2026-01-01T00:00:00Z,2025-01-31T08:30:20Z,webchat,incident,access_permissions,sso_setup,High,8.0,2.2,8.5,solved,fixed,FALSE,support,"",14,Enterprise,London,45-54,M,"SSO certificate expired on Orbit ID",Negative,5,"sso; orbit_id; certificate; expired"
ND-2025-000092,2026-01-01T00:00:00Z,2025-01-02T15:20:10Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.1,19.5,solved,answered,FALSE,support,"",1,Standard,North West,25-34,M,"Walkthrough for creating charts?",Neutral,4,"how_to; chart; polaris; walkthrough"
ND-2025-000093,2026-01-01T00:00:00Z,2025-01-03T09:55:40Z,email,incident,integrations,timeout_error,High,8.0,3.5,,open,"",FALSE,engineering,"",11,Pro,West Midlands,35-44,F,"HubSpot sync timing out consistently",Negative,,"timeout; hubspot; sync; connector"
ND-2025-000094,2026-01-01T00:00:00Z,2025-01-04T13:40:25Z,webchat,service_request,account_admin,org_settings,Medium,24.0,1.5,3.2,solved,answered,FALSE,support,"",7,Pro,London,35-44,M,"Change organization name",Neutral,5,"admin; settings; organization; update"
ND-2025-000095,2026-01-01T00:00:00Z,2025-01-05T08:45:15Z,in_app,service_request,how_to_training,onboarding_help,Medium,24.0,2.8,,new,"",FALSE,support,"",1,Standard,Yorkshire,18-24,F,"New user guide please",Neutral,,"how_to; guide; onboarding; docs"
ND-2025-000096,2026-01-01T00:00:00Z,2025-01-06T11:30:50Z,email,incident,security_privacy,penetration_test_report,Low,72.0,26.5,,on_hold,"",FALSE,security,"",24,Enterprise,London,35-44,M,"Submitting annual pen test results",Neutral,,"security; penetration_test; compliance; report"
ND-2025-000097,2026-01-01T00:00:00Z,2025-01-07T14:15:30Z,phone,incident,billing_payments,dunning,Urgent,4.0,0.1,2.0,solved,fixed,FALSE,billing,"",5,Standard,South West,45-54,F,"Received a dunning email but I paid yesterday",Negative,4,"dunning; payment; billing; error"
